gene,rho,p,mean_effect
ATP5F1B,-0.189517160781924,4.4599530084427033e-10,-0.9088813513785039
COX6A1,-0.18575565223224372,9.900720758458934e-10,-0.5912272063826737
SURF1,-0.18562171950571113,1.0182803517746083e-09,-0.0675552526050895
ATPAF2,-0.18215963777497857,2.0898990069442004e-09,0.0012592039618472526
TIMM13,-0.17381446492565644,1.117513043330584e-08,-0.9008043322520688
NDUFS3,-0.17247911502643315,1.4506446868986773e-08,-0.3280745794778349
NDUFA9,-0.16917239327722497,2.7438805237554724e-08,-0.35148185930946446
ATP5F1D,-0.1676665169020748,3.652927472049899e-08,-0.7191834895988967
ATP5F1C,-0.1653361716636757,5.659378786303443e-08,-0.5627116418022193
NDUFAF3,-0.165004470227639,6.020266248709207e-08,-0.4505119731643611
SDHAF2,-0.1629733536828525,8.766727858805948e-08,-0.33045760704169397
IMMT,-0.15350947603511358,4.7528919452017977e-07,-0.43720608728128313
UQCC2,-0.1483304500566076,1.1492799986751266e-06,-0.3173561803435658
TOMM70,-0.13820235722292135,5.9343962175266525e-06,-0.34242051889347824
UQCC1,-0.1364625146395429,7.779715854353726e-06,-0.2961033507371679
TIMM44,-0.1364232957294584,7.827046573011823e-06,-0.8248629350006286
NDUFA13,-0.13373161445802395,1.1821175124183061e-05,-0.5375777948486198
ATP5PO,-0.1267043515253023,3.3432371682447076e-05,-0.38060467551162364
NDUFAF4,-0.11514920152790492,0.00016475205105720927,-0.2894031460608316
CHCHD6,-0.10128064105512675,0.0009282492593927972,0.0743334423885762
TOMM22,-0.09663246714637398,0.001584692012576425,-1.0250604189453334
TMEM70,-0.09231796106760885,0.0025524084178596466,-0.15208174178258477
DNAJC19,-0.08806137197742898,0.004009775324819569,-0.1718281130541955
TIMM29,-0.08176130332155192,0.00756664197605933,-0.5311976231088829
COX8A,-0.07768235835996265,0.01117554639031485,-0.20230626337204113
TOMM20,-0.07171019208682161,0.019202247898977915,-0.6243422155020455
NDUFAF2,-0.06893649187978608,0.024398839266239328,-0.1902138053141331
TOMM7,-0.05609144688817239,0.06715143478599926,-0.06071183014846913
GRPEL1,-0.039736071693594124,0.19485185745366645,-1.3047502129493793
SDHAF1,-0.035092841011952286,0.25230133444542596,-0.28904054286763464
TIMM22,-0.031865156412051815,0.29860493334245053,-0.5802237565648946
TIMM17A,-0.030543888271021266,0.3190996100286313,-0.26611897000203516
TIMM10,-0.02652395494049372,0.3869651528986716,-1.1562882409077346
TOMM40,-0.025292937842737947,0.4093892978170387,-1.286686919431689
PAM16,-0.018734384968413096,0.5411948148450921,-1.4025470150729742
TIMM21,-0.010532595424108155,0.7312286003178864,0.0624426369593944
TIMM17B,-0.00724034673062958,0.8133391105257956,-0.029897994813239855
TIMM9,-0.0064720265873500936,0.8328375407129109,-0.5395386495011836
TOMM5,-0.002743728796967164,0.9287029371341803,-0.16187662389528296
TOMM40L,0.003846860944044536,0.9001658886739651,-0.08597946546132416
APOO,0.006968825865131734,0.8202172394959506,0.08911995930731656
ATPAF1,0.023256471913903565,0.44813524249128506,0.02258044682853506
ATP5MC1,0.0240278877655441,0.4332191037982119,-0.31800352289544964
APOOL,0.02832171946559079,0.3555931636501072,-0.17120385492119736
TOMM6,0.03775078649195135,0.21811981291422466,-0.16115917201988822
TIMM8A,0.04406545698502582,0.1505099950983196,-0.30189157474164063
TIMM23,,,-0.8252044737815275
TIMM50,,,-0.4191208699296886
COX7A2,,,-0.05517052859548381
