symbol,resolved_systematic_id,uniprot_id,gene_name,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes
GRPEL1,ENSG00000109519,Q9HAV7,"GrpE like 1, mitochondrial",GO:0005739,biogenesis,import_TIM,False,
TIMM29,ENSG00000142444,Q9BSF4,translocase of inner mitochondrial membrane 29,GO:0005739;GO:0045039,biogenesis,import_TIM,False,
IMMT,ENSG00000132305,Q16891,inner membrane mitochondrial protein,GO:0005739;GO:0007007,biogenesis,MICOS,False,MIC60/MICOS60 - MICOS core
MICOS10,ENSG00000173436,Q5TGZ0,mitochondrial contact site and cristae organizing system subunit 10,GO:0005739;GO:0007007,biogenesis,MICOS,False,
MICOS13,ENSG00000174917,Q5XKP0,mitochondrial contact site and cristae organizing system subunit 13,GO:0005739;GO:0007007,biogenesis,MICOS,False,
CHCHD3,ENSG00000106554,Q9NX63,coiled-coil-helix-coiled-coil-helix domain containing 3,GO:0005739;GO:0007007,biogenesis,MICOS,False,
CHCHD6,ENSG00000159685,Q9BRQ6,coiled-coil-helix-coiled-coil-helix domain containing 6,GO:0005739;GO:0007007,biogenesis,MICOS,False,
APOO,ENSG00000184831,Q9BUR5,apolipoprotein O,GO:0005739;GO:0007007,biogenesis,MICOS,False,
APOOL,ENSG00000155008,Q6UXV4,apolipoprotein O like,GO:0005739;GO:0007007,biogenesis,MICOS,False,
NDUFA9,ENSG00000139180,Q16795,NADH:ubiquinone oxidoreductase subunit A9,GO:0005739,biogenesis,OXPHOS_CI,False,
NDUFA13,ENSG00000186010,Q9P0J0,NADH:ubiquinone oxidoreductase subunit A13,GO:0005739;GO:0032981;GO:0045039,biogenesis,OXPHOS_CI,False,
NDUFB8,ENSG00000166136,O95169,NADH:ubiquinone oxidoreductase subunit B8,GO:0005739,biogenesis,OXPHOS_CI,False,
NDUFS1,ENSG00000023228,P28331,NADH:ubiquinone oxidoreductase core subunit S1,GO:0005739;GO:0032981,biogenesis,OXPHOS_CI,False,
NDUFS2,ENSG00000158864,O75306,NADH:ubiquinone oxidoreductase core subunit S2,GO:0005739;GO:0032981;GO:0042775,biogenesis,OXPHOS_CI,False,
NDUFS3,ENSG00000213619,O75489,NADH:ubiquinone oxidoreductase core subunit S3,GO:0005739;GO:0032981,biogenesis,OXPHOS_CI,False,
NDUFV1,ENSG00000167792,P49821,NADH:ubiquinone oxidoreductase core subunit V1,GO:0005739;GO:0042775,biogenesis,OXPHOS_CI,False,
NDUFAF1,ENSG00000137806,Q9Y375,NADH:ubiquinone oxidoreductase complex assembly factor 1,GO:0005739;GO:0032981,biogenesis,OXPHOS_CI,False,
NDUFAF2,ENSG00000164182,Q8N183,NADH:ubiquinone oxidoreductase complex assembly factor 2,GO:0005739;GO:0032981,biogenesis,OXPHOS_CI,False,
NDUFAF3,ENSG00000178057,Q9BU61,NADH:ubiquinone oxidoreductase complex assembly factor 3,GO:0005739;GO:0032981,biogenesis,OXPHOS_CI,False,
NDUFAF4,ENSG00000123545,Q9P032,NADH:ubiquinone oxidoreductase complex assembly factor 4,GO:0005739;GO:0032981,biogenesis,OXPHOS_CI,False,
SDHA,ENSG00000073578,P31040,succinate dehydrogenase complex flavoprotein subunit A,GO:0005739,biogenesis,OXPHOS_CII,False,
SDHB,ENSG00000117118,P21912,succinate dehydrogenase complex iron sulfur subunit B,GO:0005739,biogenesis,OXPHOS_CII,False,
SDHC,ENSG00000143252,Q99643,succinate dehydrogenase complex subunit C,GO:0005739,biogenesis,OXPHOS_CII,False,
SDHD,ENSG00000204370,O14521,succinate dehydrogenase complex subunit D,GO:0005739,biogenesis,OXPHOS_CII,False,
SDHAF1,ENSG00000205138,A6NFY7,succinate dehydrogenase complex assembly factor 1,GO:0005739,biogenesis,OXPHOS_CII,False,
SDHAF2,ENSG00000167985,Q9NX18,succinate dehydrogenase complex assembly factor 2,GO:0005739,biogenesis,OXPHOS_CII,False,
UQCRC1,ENSG00000010256,P31930,ubiquinol-cytochrome c reductase core protein 1,GO:0005739;GO:0006122,biogenesis,OXPHOS_CIII,False,
UQCRC2,ENSG00000140740,P22695,ubiquinol-cytochrome c reductase core protein 2,GO:0005739;GO:0006122,biogenesis,OXPHOS_CIII,False,
UQCRB,ENSG00000156467,P14927,ubiquinol-cytochrome c reductase binding protein,GO:0005739;GO:0006122,biogenesis,OXPHOS_CIII,False,
UQCRFS1,ENSG00000169021,P47985,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",GO:0005739;GO:0006122,biogenesis,OXPHOS_CIII,False,
CYC1,ENSG00000179091,P08574,cytochrome c1,GO:0005739;GO:0006122,biogenesis,OXPHOS_CIII,False,
BCS1L,ENSG00000074582,Q9Y276,BCS1 ubiquinol-cytochrome c reductase complex chaperone,GO:0005739;GO:0007005;GO:0032981,biogenesis,OXPHOS_CIII,False,
UQCC1,ENSG00000101019,Q9NVA1,ubiquinol-cytochrome c reductase complex assembly factor 1,GO:0005739,biogenesis,OXPHOS_CIII,False,
UQCC2,ENSG00000137288,Q9BRT2,ubiquinol-cytochrome c reductase complex assembly factor 2,GO:0005739,biogenesis,OXPHOS_CIII,False,
COX4I1,ENSG00000131143,P13073,cytochrome c oxidase subunit 4I1,GO:0005739;GO:0006123,biogenesis,OXPHOS_CIV,False,
COX5A,ENSG00000178741,P20674,cytochrome c oxidase subunit 5A,GO:0005739;GO:0006123,biogenesis,OXPHOS_CIV,False,
COX5B,ENSG00000135940,P10606,cytochrome c oxidase subunit 5B,GO:0005739;GO:0006123,biogenesis,OXPHOS_CIV,False,
COX6A1,ENSG00000111775,P12074,cytochrome c oxidase subunit 6A1,GO:0005739;GO:0006123,biogenesis,OXPHOS_CIV,False,
COX6C,ENSG00000164919,P09669,cytochrome c oxidase subunit 6C,GO:0005739;GO:0006123,biogenesis,OXPHOS_CIV,False,
COX7A2,ENSG00000112695,P14406,cytochrome c oxidase subunit 7A2,GO:0005739;GO:0006123,biogenesis,OXPHOS_CIV,False,
COX8A,ENSG00000176340,P10176,cytochrome c oxidase subunit 8A,GO:0005739;GO:0006123,biogenesis,OXPHOS_CIV,False,
SURF1,ENSG00000280627,Q15526,SURF1 cytochrome c oxidase assembly factor,GO:0005739,biogenesis,OXPHOS_CIV,False,
SCO1,ENSG00000133028,O75880,synthesis of cytochrome C oxidase 1,GO:0005739,biogenesis,OXPHOS_CIV,False,
SCO2,ENSG00000284194,O43819,synthesis of cytochrome C oxidase 2,GO:0005739,biogenesis,OXPHOS_CIV,False,
COX10,ENSG00000006695,Q12887,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,GO:0005739,biogenesis,OXPHOS_CIV,False,
COX15,ENSG00000014919,Q7KZN9,cytochrome c oxidase assembly factor COX15,GO:0005739,biogenesis,OXPHOS_CIV,False,
ATP5F1A,ENSG00000152234,P25705,ATP synthase F1 subunit alpha,GO:0005739,biogenesis,OXPHOS_CV,False,
ATP5F1B,ENSG00000110955,P06576,ATP synthase F1 subunit beta,GO:0005739,biogenesis,OXPHOS_CV,False,
ATP5F1C,ENSG00000165629,P36542,ATP synthase F1 subunit gamma,GO:0005739,biogenesis,OXPHOS_CV,False,
ATP5F1D,ENSG00000099624,P30049,ATP synthase F1 subunit delta,GO:0005739,biogenesis,OXPHOS_CV,False,
ATP5PO,ENSG00000241837,P48047,ATP synthase peripheral stalk subunit OSCP,GO:0005739,biogenesis,OXPHOS_CV,False,
ATP5MC1,ENSG00000159199,P05496,ATP synthase membrane subunit c locus 1,GO:0005739,biogenesis,OXPHOS_CV,False,
ATPAF1,ENSG00000123472,Q5TC12,ATP synthase mitochondrial F1 complex assembly factor 1,GO:0005739,biogenesis,OXPHOS_CV,False,
ATPAF2,ENSG00000171953,Q8N5M1,ATP synthase mitochondrial F1 complex assembly factor 2,GO:0005739,biogenesis,OXPHOS_CV,False,
TMEM70,ENSG00000175606,Q9BUB7,transmembrane protein 70,GO:0005739;GO:0032981,biogenesis,OXPHOS_CV,False,
POLG,ENSG00000140521,P54098,"DNA polymerase gamma, catalytic subunit",GO:0005739,biogenesis,mtDNA_replication_transcription,False,
POLG2,ENSG00000256525,Q9UHN1,"DNA polymerase gamma 2, accessory subunit",GO:0005739,biogenesis,mtDNA_replication_transcription,False,
POLRMT,ENSG00000099821,O00411,RNA polymerase mitochondrial,GO:0005739;GO:0006390,biogenesis,mtDNA_replication_transcription,False,
TFB2M,ENSG00000162851,Q9H5Q4,"transcription factor B2, mitochondrial",GO:0005739;GO:0006390,biogenesis,mtDNA_replication_transcription,False,
TFB1M,ENSG00000029639,Q8WVM0,"transcription factor B1, mitochondrial",GO:0005739,biogenesis,mtDNA_replication_transcription,False,
SSBP1,ENSG00000106028,Q04837,single stranded DNA binding protein 1,GO:0005739,biogenesis,mtDNA_replication_transcription,False,
TWNK,ENSG00000107815,Q96RR1,twinkle mtDNA helicase,GO:0005739;GO:0006390,biogenesis,mtDNA_replication_transcription,False,
