module,arm,symbol,ensembl,uniprot,gene_name,submodule,role,shared_with_bulk_autophagy,resolver,notes
lipid_droplet,biogenesis,CEBPB,ENSG00000172216,P17676,CCAAT enhancer binding protein beta,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,SREBF1,ENSG00000072310,P36956,sterol regulatory element binding transcription factor 1,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,SREBF2,ENSG00000198911,Q12772,sterol regulatory element binding transcription factor 2,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,MLXIPL,ENSG00000009950,Q9NP71,MLX interacting protein like,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,NR1H3,ENSG00000025434,Q13133,nuclear receptor subfamily 1 group H member 3,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,NR1H2,ENSG00000131408,P55055,nuclear receptor subfamily 1 group H member 2,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,USF1,ENSG00000158773,P22415,upstream transcription factor 1,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,SCAP,ENSG00000114650,Q12770,SREBF chaperone,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,INSIG1,ENSG00000186480,O15503,insulin induced gene 1,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,INSIG2,ENSG00000125629,Q9Y5U4,insulin induced gene 2,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
ER,biogenesis,SEC61A1,ENSG00000058262,P61619,SEC61 translocon subunit alpha 1,translocon_SEC61,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SEC61A2,ENSG00000065665,Q9H9S3,SEC61 translocon subunit alpha 2,translocon_SEC61,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SEC61B,ENSG00000106803,P60468,SEC61 translocon subunit beta,translocon_SEC61,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SEC61G,ENSG00000132432,P60059,SEC61 translocon subunit gamma,translocon_SEC61,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SEC62,ENSG00000008952,Q99442,SEC62 preprotein translocation factor,translocon_SEC61,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",dual role: translocon + ER-phagy recycling receptor
ER,biogenesis,SEC63,ENSG00000025796,Q9UGP8,SEC63 protein translocation regulator,translocon_SEC61,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRP54,ENSG00000100883,P61011,signal recognition particle 54,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRP68,ENSG00000167881,Q9UHB9,signal recognition particle 68,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRP72,ENSG00000174780,O76094,signal recognition particle 72,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRP9,ENSG00000143742,P49458,signal recognition particle 9,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRP14,ENSG00000140319,P37108,signal recognition particle 14,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRP19,ENSG00000153037,P09132,signal recognition particle 19,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRPRA,ENSG00000182934,P08240,SRP receptor subunit alpha,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SRPRB,ENSG00000144867,Q9Y5M8,SRP receptor subunit beta,SRP_pathway,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,STT3A,ENSG00000134910,P46977,STT3 oligosaccharyltransferase complex catalytic subunit A,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,STT3B,ENSG00000163527,Q8TCJ2,STT3 oligosaccharyltransferase complex catalytic subunit B,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,RPN1,ENSG00000163902,P04843,ribophorin I,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,RPN2,ENSG00000118705,P04844,ribophorin II,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,DDOST,ENSG00000244038,P39656,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,OST4,ENSG00000228474,P0C6T2,"oligosaccharyltransferase complex subunit 4, non-catalytic",OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,DAD1,ENSG00000129562,P61803,defender against cell death 1,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,TUSC3,ENSG00000104723,Q13454,tumor suppressor candidate 3,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,MAGT1,ENSG00000102158,Q9H0U3,magnesium transporter 1,OST_glycosylation,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SPCS1,ENSG00000114902,Q9Y6A9,signal peptidase complex subunit 1,signal_peptidase,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SPCS2,ENSG00000118363,Q15005,signal peptidase complex subunit 2,signal_peptidase,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SPCS3,ENSG00000129128,P61009,signal peptidase complex subunit 3,signal_peptidase,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SEC11A,ENSG00000140612,P67812,"SEC11 homolog A, signal peptidase complex subunit",signal_peptidase,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SEC11C,ENSG00000166562,Q9BY50,"SEC11 homolog C, signal peptidase complex subunit",signal_peptidase,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,HSPA5,ENSG00000044574,P11021,heat shock protein family A (Hsp70) member 5,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,HYOU1,ENSG00000149428,Q9Y4L1,hypoxia up-regulated 1,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,CANX,ENSG00000283777,P27824,calnexin,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,CALR,ENSG00000179218,P27797,calreticulin,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,PDIA3,ENSG00000167004,P30101,protein disulfide isomerase family A member 3,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,PDIA4,ENSG00000155660,P13667,protein disulfide isomerase family A member 4,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,PDIA6,ENSG00000143870,Q15084,protein disulfide isomerase family A member 6,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,P4HB,ENSG00000185624,P07237,prolyl 4-hydroxylase subunit beta,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,DNAJB9,ENSG00000128590,Q9UBS3,DnaJ heat shock protein family (Hsp40) member B9,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,DNAJB11,ENSG00000090520,Q9UBS4,DnaJ heat shock protein family (Hsp40) member B11,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,DNAJC3,ENSG00000102580,Q13217,DnaJ heat shock protein family (Hsp40) member C3,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,SDF2L1,ENSG00000128228,Q9HCN8,stromal cell derived factor 2 like 1,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,ERP44,ENSG00000023318,Q9BS26,endoplasmic reticulum protein 44,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,FKBP7,ENSG00000079150,Q9Y680,FKBP prolyl isomerase 7,ER_chaperone_folding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,ATL1,ENSG00000198513,Q8WXF7,atlastin GTPase 1,ER_structure_shaping,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,ATL2,ENSG00000119787,Q8NHH9,atlastin GTPase 2,ER_structure_shaping,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,RTN4,ENSG00000115310,Q9NQC3,reticulon 4,ER_structure_shaping,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,LNPK,ENSG00000144320,Q9C0E8,"lunapark, ER junction formation factor",ER_structure_shaping,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,CKAP4,ENSG00000136026,Q07065,cytoskeleton associated protein 4,ER_structure_shaping,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,REEP5,ENSG00000129625,Q00765,receptor accessory protein 5,ER_structure_shaping,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,biogenesis,XBP1,ENSG00000100219,P17861,X-box binding protein 1,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,ATF6,ENSG00000118217,P18850,activating transcription factor 6,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,ATF6B,ENSG00000168468,Q99941,activating transcription factor 6 beta,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,ATF4,ENSG00000128272,P18848,activating transcription factor 4,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,ERN1,ENSG00000178607,O75460,endoplasmic reticulum to nucleus signaling 1,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,EIF2AK3,ENSG00000172071,Q9NZJ5,eukaryotic translation initiation factor 2 alpha kinase 3,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,DDIT3,ENSG00000175197,P35638,DNA damage inducible transcript 3,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,ATF3,ENSG00000162772,P18847,activating transcription factor 3,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,CREB3,ENSG00000107175,O43889,cAMP responsive element binding protein 3,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,CREB3L1,ENSG00000157613,Q96BA8,cAMP responsive element binding protein 3 like 1,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,CREB3L2,ENSG00000182158,Q70SY1,cAMP responsive element binding protein 3 like 2,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,biogenesis,NFE2L2,ENSG00000116044,Q16236,NFE2 like bZIP transcription factor 2,regulator_UPR_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR sensor/TF; EXCLUDED from primary score (circular vs UPR PC)
ER,erphagy,RETREG1,ENSG00000154153,Q9H6L5,reticulophagy regulator 1,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",FAM134B; canonical starvation ER-phagy receptor
ER,erphagy,RETREG2,ENSG00000144567,Q8NC44,reticulophagy regulator family member 2,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,RETREG3,ENSG00000141699,Q86VR2,reticulophagy regulator family member 3,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,RTN3,ENSG00000133318,O95197,reticulon 3,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,SEC62,ENSG00000008952,Q99442,SEC62 preprotein translocation factor,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",recovery-ER-phagy receptor; dual with biogenesis translocon
ER,erphagy,CCPG1,ENSG00000260916,Q9ULG6,cell cycle progression 1,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",UPR-induced ER-phagy receptor (stress-inducible arm)
ER,erphagy,ATL3,ENSG00000184743,Q6DD88,atlastin GTPase 3,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,TEX264,ENSG00000164081,Q9Y6I9,"testis expressed 264, ER-phagy receptor",receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,CALCOCO1,ENSG00000012822,Q9P1Z2,calcium binding and coiled-coil domain 1,receptor_selective,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,MAP1LC3B,ENSG00000140941,Q9GZQ8,microtubule associated protein 1 light chain 3 beta,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,GABARAPL1,ENSG00000139112,Q9H0R8,GABA type A receptor associated protein like 1,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,GABARAPL2,ENSG00000034713,P60520,GABA type A receptor associated protein like 2,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,ATG7,ENSG00000197548,O95352,autophagy related 7,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,ATG5,ENSG00000057663,Q9H1Y0,autophagy related 5,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,ATG12,ENSG00000145782,O94817,autophagy related 12,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,ATG101,ENSG00000123395,Q9BSB4,autophagy related 101,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,ULK1,ENSG00000177169,O75385,unc-51 like autophagy activating kinase 1,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,BECN1,ENSG00000126581,Q14457,beclin 1,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,WIPI2,ENSG00000157954,Q9Y4P8,"WD repeat domain, phosphoinositide interacting 2",core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
ER,erphagy,SQSTM1,ENSG00000161011,Q13501,sequestosome 1,core_autophagy_shared,machinery,True,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
