symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
Os-FTSZ1,Os04g0665400,,GO:0010020,biogenesis,division,False,AT5G55280,FTSZ1,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT5G55280,entrez:4337316; chloroplast biogenesis (division) conserved machinery
Os-ARC6,Os04g0675800,,GO:0010020,biogenesis,division,False,AT3G19180,ARC6,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT3G19180,chloroplast biogenesis (division) conserved machinery; AT5G42480(ARC6) japonica absent in Compara; mapped via PARC6 paralog family (AT3G19180)
Os-PORB,Os04g0678700,,GO:0015995,biogenesis,chlorophyll,False,AT4G27440,PORB,ensembl_compara_plants_homology,medium,ensembl_compara_plants:many2many<-AT4G27440,entrez:4337415; chloroplast biogenesis (chlorophyll) conserved machinery
Os-TOC159,Os05g0151400,,GO:0045037,biogenesis,import,False,AT4G02510,TOC159,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT4G02510,entrez:4337834; chloroplast biogenesis (import) conserved machinery
Os-FTSZ2-1/FTSZ2-2,Os05g0443800,,GO:0010020,biogenesis,division,False,AT2G36250/AT3G52750,FTSZ2-1/FTSZ2-2,ensembl_compara_plants_homology,medium,ensembl_compara_plants:many2many<-AT2G36250/AT3G52750,entrez:4338932; chloroplast biogenesis (division) conserved machinery
Os-MIND/ARC11,Os06g0106000,,GO:0010020,biogenesis,division,False,AT5G24020,MIND/ARC11,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT5G24020,entrez:4339865; chloroplast biogenesis (division) conserved machinery
Os-CHLM,Os06g0132400,,GO:0015995,biogenesis,chlorophyll,False,AT4G25080,CHLM,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT4G25080,chloroplast biogenesis (chlorophyll) conserved machinery
Os-TIC21/PIC1,Os06g0638100,,GO:0045037,biogenesis,import,False,AT2G15290,TIC21/PIC1,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT2G15290,entrez:4341611; chloroplast biogenesis (import) conserved machinery
Os-HCF136,Os06g0729500,,GO:0010207,biogenesis,thylakoid_assembly,False,AT5G23120,HCF136,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G23120,entrez:4342140; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-HCF136,Os06g0729650,,GO:0010207,biogenesis,thylakoid_assembly,False,AT5G23120,HCF136,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G23120,entrez:107275792; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-GUN5/CHLH,Os07g0656500,,GO:0015995,biogenesis,chlorophyll,False,AT5G13630,GUN5/CHLH,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G13630,chloroplast biogenesis (chlorophyll) conserved machinery
Os-ARC3,Os09g0555600,,GO:0010020,biogenesis,division,False,AT1G75010,ARC3,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT1G75010,entrez:4347814; chloroplast biogenesis (division) conserved machinery
Os-PORB,Os10g0496900,,GO:0015995,biogenesis,chlorophyll,False,AT4G27440,PORB,ensembl_compara_plants_homology,medium,ensembl_compara_plants:many2many<-AT4G27440,entrez:4349004; chloroplast biogenesis (chlorophyll) conserved machinery
Os-HEMA1,Os10g0502400,,GO:0015995,biogenesis,chlorophyll,False,AT1G58290,HEMA1,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT1G58290,entrez:4349044; chloroplast biogenesis (chlorophyll) conserved machinery
Os-TOC132,Os10g0548800,,GO:0045037,biogenesis,import,False,AT2G16640,TOC132,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT2G16640,entrez:4349303; chloroplast biogenesis (import) conserved machinery
Os-TOC75-III,Os11g0116500,,GO:0045037,biogenesis,import,False,AT3G46740,TOC75-III,ensembl_compara_plants_homology,medium,ensembl_compara_plants:many2many<-AT3G46740,chloroplast biogenesis (import) conserved machinery
Os-CPSRP54,Os11g0153600,,GO:0010207,biogenesis,thylakoid_assembly,False,AT5G03940,CPSRP54,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G03940,entrez:9267495; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-CPSRP54,Os11g0153700,,GO:0010207,biogenesis,thylakoid_assembly,False,AT5G03940,CPSRP54,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G03940,entrez:4349809; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-ARC5/DRP5B,Os12g0178700,,GO:0010020,biogenesis,division,False,AT3G19720,ARC5/DRP5B,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT3G19720,entrez:4351665; chloroplast biogenesis (division) conserved machinery
