symbol,resolved_systematic_id,resolved_ensembl_id,entrez_id,gene_name,go_cc_terms,module,submodule,shared_with_bulk_autophagy,notes
RB1CC1,ENSG00000023287,ENSG00000023287,9821,RB1 inducible coiled-coil 1,GO:0000407;GO:0000421;GO:0005634;GO:0005737;GO:0005764;GO:0005773;GO:0005789;GO:0005829;GO:0034045;GO:0035032;GO:1990316,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ATG13,ENSG00000175224,ENSG00000175224,9776,autophagy related 13,GO:0000407;GO:0005737;GO:0005739;GO:0005776;GO:0005789;GO:0005829;GO:0034045;GO:0035032;GO:1990316,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ATG101,ENSG00000123395,ENSG00000123395,60673,autophagy related 101,GO:0000407;GO:0005737;GO:0005789;GO:0005829;GO:1990316,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ATG7,ENSG00000197548,ENSG00000197548,10533,autophagy related 7,GO:0000407;GO:0005576;GO:0005737;GO:0005776;GO:0005829;GO:0005930;GO:0034774;GO:0048471;GO:0098691;GO:0098793;GO:1904813,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ATG5,ENSG00000057663,ENSG00000057663,9474,autophagy related 5,GO:0005737;GO:0005776;GO:0005829;GO:0005930;GO:0016020;GO:0030424;GO:0030670;GO:0032991;GO:0034045;GO:0034274;GO:0044233;GO:0045202;GO:0061908;GO:0098685;GO:0098794;GO:0098978;GO:1990234,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ATG12,ENSG00000145782,ENSG00000145782,9140,autophagy related 12,GO:0000421;GO:0005737;GO:0005776;GO:0005829;GO:0016020;GO:0030670;GO:0032991;GO:0034045;GO:0034274;GO:1990234,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ATG16L1,ENSG00000085978,ENSG00000085978,55054,autophagy related 16 like 1,GO:0000421;GO:0005737;GO:0005765;GO:0005776;GO:0005829;GO:0005930;GO:0010008;GO:0030424;GO:0034045;GO:0034274;GO:0036020;GO:0097225;GO:0098978;GO:0120095,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ATG3,ENSG00000144848,ENSG00000144848,64422,autophagy related 3,GO:0000407;GO:0005737;GO:0005829;GO:0005886;GO:0034274,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
WIPI2,ENSG00000157954,ENSG00000157954,26100,"WD repeat domain, phosphoinositide interacting 2",GO:0000407;GO:0000421;GO:0005776;GO:0005829;GO:0016020;GO:0032991;GO:0034045,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
BECN1,ENSG00000126581,ENSG00000126581,8678,beclin 1,GO:0000407;GO:0005634;GO:0005737;GO:0005739;GO:0005768;GO:0005776;GO:0005783;GO:0005789;GO:0005794;GO:0005802;GO:0005829;GO:0010008;GO:0016604;GO:0030425;GO:0031410;GO:0031966;GO:0032473;GO:0032991;GO,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
SQSTM1,ENSG00000161011,ENSG00000161011,8878,sequestosome 1,GO:0000407;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005764;GO:0005770;GO:0005776;GO:0005783;GO:0005829;GO:0016234;GO:0016235;GO:0016605;GO:0030017;GO:0036464;GO:0043232;GO:0044753;GO:0044754;GO,degradation,scaffold_shared,True,selective-autophagy scaffold/receptor; shared across selective autophagy pathways
CALCOCO1,ENSG00000012822,ENSG00000012822,57658,calcium binding and coiled-coil domain 1,GO:0000785;GO:0005634;GO:0005737;GO:0005829,degradation,scaffold_shared,True,selective-autophagy scaffold/receptor; shared across selective autophagy pathways
