symbol,resolved_systematic_id,resolved_ensembl_id,entrez_id,gene_name,go_cc_terms,module,submodule,shared_with_bulk_autophagy,notes
STT3B,ENSG00000163527,ENSG00000163527,201595,STT3 oligosaccharyltransferase complex catalytic subunit B,GO:0005783;GO:0005789;GO:0008250;GO:0016020;GO:0032991;GO:0160227,biogenesis,OST_glycosylation,False,OST catalytic subunit (post-translational N-glyc)
RPN1,ENSG00000163902,ENSG00000163902,5708,"proteasome 26S subunit ubiquitin receptor, non-ATPase 2",GO:0005783;GO:0005789;GO:0005791;GO:0005829;GO:0008250;GO:0016020;GO:0042470;GO:0160226;GO:0160227,biogenesis,OST_glycosylation,False,OST ribophorin I
RPN2,ENSG00000118705,ENSG00000118705,5707,"proteasome 26S subunit, non-ATPase 1",GO:0005783;GO:0005789;GO:0008250;GO:0016020;GO:0160226;GO:0160227,biogenesis,OST_glycosylation,False,OST ribophorin II
DAD1,ENSG00000129562,ENSG00000129562,1603,defender against cell death 1,GO:0005789;GO:0008250;GO:0016020;GO:0160226;GO:0160227,biogenesis,OST_glycosylation,False,OST subunit
DDOST,ENSG00000244038,ENSG00000244038,1650,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,GO:0005783;GO:0005789;GO:0005886;GO:0008250;GO:0016020;GO:0035577;GO:0043231;GO:0160226;GO:0160227,biogenesis,OST_glycosylation,False,OST 48kDa subunit
OSTC,ENSG00000198856,ENSG00000198856,58505,oligosaccharyltransferase complex non-catalytic subunit,GO:0005783;GO:0005789;GO:0008250;GO:0016020;GO:0160226,biogenesis,OST_glycosylation,False,OST complex subunit
TUSC3,ENSG00000104723,ENSG00000104723,7991,tumor suppressor candidate 3,GO:0005739;GO:0005789;GO:0005886;GO:0008250,biogenesis,OST_glycosylation,False,OST oxidoreductase subunit
MAGT1,ENSG00000102158,ENSG00000102158,84061,magnesium transporter 1,GO:0005783;GO:0005789;GO:0005886;GO:0008250;GO:0016020;GO:0035577;GO:0160227,biogenesis,OST_glycosylation,False,OST oxidoreductase subunit
HSPA5,ENSG00000044574,ENSG00000044574,3309,heat shock protein family A (Hsp70) member 5,GO:0005634;GO:0005737;GO:0005739;GO:0005783;GO:0005788;GO:0005789;GO:0005793;GO:0005829;GO:0005886;GO:0005925;GO:0008180;GO:0009986;GO:0016020;GO:0030496;GO:0032991;GO:0034663;GO:0042470;GO:0043231;GO,biogenesis,ER_chaperone_folding,False,BiP/GRP78 - master ER Hsp70 chaperone; UPR effector; ATF6/XBP1 target
HYOU1,ENSG00000149428,ENSG00000149428,10525,hypoxia up-regulated 1,GO:0005576;GO:0005783;GO:0005788;GO:0005790;GO:0005925;GO:0016020;GO:0034663;GO:0070062;GO:0071682,biogenesis,ER_chaperone_folding,False,GRP170 lumenal chaperone
DNAJB9,ENSG00000128590,ENSG00000128590,4189,DnaJ heat shock protein family (Hsp40) member B9,GO:0005730;GO:0005737;GO:0005783;GO:0005788;GO:0005789;GO:0070062,biogenesis,ER_chaperone_folding,False,ERdj4 - IRE1/XBP1-target J-protein
DNAJB11,ENSG00000090520,ENSG00000090520,51726,DnaJ heat shock protein family (Hsp40) member B11,GO:0005576;GO:0005634;GO:0005737;GO:0005783;GO:0005788;GO:0016020;GO:0034663;GO:0101031,biogenesis,ER_chaperone_folding,False,ERdj3 J-protein
DNAJC3,ENSG00000102580,ENSG00000102580,5611,DnaJ heat shock protein family (Hsp40) member C3,GO:0005576;GO:0005737;GO:0005783;GO:0005788;GO:0005829;GO:0016020;GO:0035578;GO:0070062;GO:1903561,biogenesis,ER_chaperone_folding,False,p58IPK J-protein
PDIA3,ENSG00000167004,ENSG00000167004,2923,protein disulfide isomerase family A member 3,GO:0005576;GO:0005634;GO:0005783;GO:0005788;GO:0005925;GO:0009986;GO:0042470;GO:0042824;GO:0045335;GO:0055038;GO:0061779;GO:0070062,biogenesis,ER_chaperone_folding,False,ERp57 disulfide isomerase
PDIA4,ENSG00000155660,ENSG00000155660,9601,protein disulfide isomerase family A member 4,GO:0005576;GO:0005783;GO:0005788;GO:0009986;GO:0042470,biogenesis,ER_chaperone_folding,False,ERp72 disulfide isomerase (UPR target)
PDIA6,ENSG00000143870,ENSG00000143870,10130,protein disulfide isomerase family A member 6,GO:0005576;GO:0005783;GO:0005788;GO:0005789;GO:0005793;GO:0005886;GO:0034663;GO:0042470;GO:0070062,biogenesis,ER_chaperone_folding,False,P5 disulfide isomerase
P4HB,ENSG00000185624,ENSG00000185624,5034,prolyl 4-hydroxylase subunit beta,GO:0005576;GO:0005783;GO:0005788;GO:0005793;GO:0005829;GO:0005856;GO:0005886;GO:0005925;GO:0009897;GO:0016222;GO:0030027;GO:0032991;GO:0034663;GO:0042470;GO:0070062,biogenesis,ER_chaperone_folding,False,PDI prolyl-4-hydroxylase beta
CALR,ENSG00000179218,ENSG00000179218,811,calreticulin,GO:0001669;GO:0005576;GO:0005634;GO:0005635;GO:0005737;GO:0005739;GO:0005783;GO:0005788;GO:0005789;GO:0005790;GO:0005829;GO:0005840;GO:0005925;GO:0009897;GO:0009986;GO:0012505;GO:0016020;GO:0016529;GO,biogenesis,ER_chaperone_folding,False,calreticulin lectin chaperone
CANX,ENSG00000127022,ENSG00000127022,821,calnexin,GO:0005783;GO:0005788;GO:0005789;GO:0016020;GO:0031965;GO:0031966;GO:0033162;GO:0044233;GO:0044322;GO:0070062;GO:0098553;GO:0098793,biogenesis,ER_chaperone_folding,False,calnexin lectin chaperone
MANF,ENSG00000145050,ENSG00000145050,7873,mesencephalic astrocyte derived neurotrophic factor,GO:0005576;GO:0005634;GO:0005783;GO:0005788;GO:0005829;GO:0033018,biogenesis,ER_chaperone_folding,False,ER stress-response neurotrophic factor
SDF2L1,ENSG00000128228,ENSG00000128228,23753,stromal cell derived factor 2 like 1,GO:0005783;GO:0005788;GO:0016020;GO:0034663;GO:0101031,biogenesis,ER_chaperone_folding,False,UPR-induced ER stromal factor
PPIB,ENSG00000166794,ENSG00000166794,5479,peptidylprolyl isomerase B,GO:0005634;GO:0005737;GO:0005783;GO:0005788;GO:0005790;GO:0005829;GO:0005925;GO:0016020;GO:0032991;GO:0034663;GO:0042470;GO:0043231;GO:0048471;GO:0070062,biogenesis,ER_chaperone_folding,False,cyclophilin B (ER PPIase)
FKBP2,ENSG00000173486,ENSG00000173486,2286,FKBP prolyl isomerase 2,GO:0005783;GO:0005789,biogenesis,ER_chaperone_folding,False,ER FK506-binding PPIase
SEL1L,ENSG00000071537,ENSG00000071537,6400,SEL1L adaptor subunit of SYVN1 ubiquitin ligase,GO:0000836;GO:0000839;GO:0005783;GO:0005789;GO:0034099;GO:0036513;GO:0044322,biogenesis,ERAD,False,SEL1L-HRD1 ERAD adaptor (UPR target)
EDEM1,ENSG00000134109,ENSG00000134109,9695,ER degradation enhancing alpha-mannosidase like protein 1,GO:0005783;GO:0005789;GO:0016020;GO:0044322,biogenesis,ERAD,False,ERAD mannosidase (XBP1 target)
EDEM2,ENSG00000088298,ENSG00000088298,55741,ER degradation enhancing alpha-mannosidase like protein 2,GO:0005783;GO:0005788;GO:0016020;GO:0044322,biogenesis,ERAD,False,ERAD mannosidase
EDEM3,ENSG00000116406,ENSG00000116406,80267,ER degradation enhancing alpha-mannosidase like protein 3,GO:0005783;GO:0005788;GO:0016020;GO:0044322,biogenesis,ERAD,False,ERAD mannosidase
HERPUD1,ENSG00000051108,ENSG00000051108,9709,homocysteine inducible ER protein with ubiquitin like domain 1,GO:0000836;GO:0005783;GO:0005789;GO:0016020;GO:0044322;GO:1990037,biogenesis,ERAD,False,HERP - UPR-induced ERAD component
DERL1,ENSG00000136986,ENSG00000136986,79139,derlin 1,GO:0005737;GO:0005769;GO:0005770;GO:0005783;GO:0005789;GO:0016020;GO:0036502;GO:0036513;GO:0044322;GO:1904949,biogenesis,ERAD,False,derlin-1 retrotranslocation
DERL2,ENSG00000072849,ENSG00000072849,51009,derlin 2,GO:0005769;GO:0005770;GO:0005783;GO:0005789;GO:0016020,biogenesis,ERAD,False,derlin-2
SYVN1,ENSG00000162298,ENSG00000162298,84447,synoviolin 1,GO:0000836;GO:0000839;GO:0005654;GO:0005783;GO:0005789;GO:0005790;GO:0005886;GO:0012505;GO:0016020;GO:0034099;GO:0036513;GO:0044322,biogenesis,ERAD,False,HRD1 E3 ligase (ERAD)
OS9,ENSG00000135506,ENSG00000135506,10956,OS9 endoplasmic reticulum lectin,GO:0000836;GO:0005783;GO:0005788;GO:0005789,biogenesis,ERAD,False,ERAD lectin
UFD1,ENSG00000070010,ENSG00000070010,7353,ubiquitin recognition factor in ER associated degradation 1,GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0034098;GO:0036501;GO:1904949;GO:1990112,biogenesis,ERAD,False,VCP cofactor (ERAD)
VCP,ENSG00000165280,ENSG00000165280,7415,valosin containing protein,GO:0000153;GO:0000502;GO:0005576;GO:0005634;GO:0005654;GO:0005737;GO:0005783;GO:0005789;GO:0005811;GO:0005829;GO:0010494;GO:0032991;GO:0034098;GO:0034774;GO:0035578;GO:0035861;GO:0036513;GO:0043231;GO,biogenesis,ERAD,False,p97/VCP ATPase (ERAD retrotranslocation)
ISYNA1,ENSG00000105655,ENSG00000105655,51477,inositol-3-phosphate synthase 1,GO:0005737;GO:0005829,biogenesis,lipid_membrane_biogenesis,False,inositol-3-P synthase (INO1 human ortholog; phospholipid precursor; UPR-linked lipid synthesis)
SCD,ENSG00000099194,ENSG00000099194,6319,stearoyl-CoA desaturase,GO:0005783;GO:0005789;GO:0016020,biogenesis,lipid_membrane_biogenesis,False,stearoyl-CoA desaturase (membrane lipid)
FASN,ENSG00000169710,ENSG00000169710,2194,fatty acid synthase,GO:0005737;GO:0005829;GO:0005835;GO:0005886;GO:0016020;GO:0042470;GO:0070062,biogenesis,lipid_membrane_biogenesis,False,fatty acid synthase
ACACA,ENSG00000275176,ENSG00000275176,31,acetyl-CoA carboxylase alpha,GO:0005739;GO:0005829,biogenesis,lipid_membrane_biogenesis,False,acetyl-CoA carboxylase
CHKA,ENSG00000110721,ENSG00000110721,1119,choline kinase alpha,GO:0005737;GO:0005811;GO:0005829,biogenesis,lipid_membrane_biogenesis,False,choline kinase (PC synthesis)
PCYT1A,ENSG00000161217,ENSG00000161217,5130,"phosphate cytidylyltransferase 1A, choline",GO:0005634;GO:0005635;GO:0005783;GO:0005789;GO:0005829;GO:0016020;GO:0042587,biogenesis,lipid_membrane_biogenesis,False,"CTP:phosphocholine cytidylyltransferase (PC synthesis, ER-membrane sensing)"
SELENOI,ENSG00000138018,ENSG00000138018,85465,selenoprotein I,GO:0005789;GO:0005794;GO:0016020,biogenesis,lipid_membrane_biogenesis,False,ethanolamine phosphotransferase (PE synthesis)
SREBF1,ENSG00000072310,ENSG00000072310,6720,sterol regulatory element binding transcription factor 1,GO:0000139;GO:0000785;GO:0005634;GO:0005635;GO:0005654;GO:0005737;GO:0005783;GO:0005789;GO:0005794;GO:0005829;GO:0012507;GO:0016020;GO:0032936;GO:0032937;GO:0032991,biogenesis,lipid_membrane_biogenesis,False,"SREBP1 lipid-synthesis TF (ER-membrane-resident precursor; note: regulator-adjacent, kept as membrane-biogenesis effector)"
INSIG1,ENSG00000186480,ENSG00000186480,3638,insulin induced gene 1,GO:0005783;GO:0005789;GO:0032937,biogenesis,lipid_membrane_biogenesis,False,SREBP/ER cholesterol sensor
LPIN1,ENSG00000134324,ENSG00000134324,23175,lipin 1,GO:0005634;GO:0005635;GO:0005654;GO:0005737;GO:0005741;GO:0005783;GO:0005789;GO:0005829;GO:0031965,biogenesis,lipid_membrane_biogenesis,False,phosphatidate phosphatase
FADS1,ENSG00000149485,ENSG00000149485,3992,fatty acid desaturase 1,GO:0005739;GO:0005789;GO:0016020;GO:0043231,biogenesis,lipid_membrane_biogenesis,False,fatty-acid desaturase
FADS2,ENSG00000134824,ENSG00000134824,9415,fatty acid desaturase 2,GO:0005789;GO:0005886;GO:0016020,biogenesis,lipid_membrane_biogenesis,False,fatty-acid desaturase
ACSL3,ENSG00000123983,ENSG00000123983,2181,acyl-CoA synthetase long chain family member 3,GO:0005741;GO:0005778;GO:0005783;GO:0005789;GO:0005794;GO:0005811;GO:0005886;GO:0016020;GO:0048471,biogenesis,lipid_membrane_biogenesis,False,long-chain acyl-CoA synthetase (ER lipid)
ERN1,ENSG00000178607,ENSG00000178607,2081,endoplasmic reticulum to nucleus signaling 1,GO:0005637;GO:0005737;GO:0005739;GO:0005783;GO:0005789;GO:0032991;GO:1990332;GO:1990597;GO:1990604;GO:1990630,biogenesis,UPR_sensor_machinery,False,IRE1alpha - conserved UPR sensor MACHINERY (splices XBP1); retained as machinery (effector TF XBP1 held out)
EIF2AK3,ENSG00000172071,ENSG00000172071,9451,eukaryotic translation initiation factor 2 alpha kinase 3,GO:0005634;GO:0005737;GO:0005783;GO:0005789;GO:0005829;GO:0016020;GO:0044233;GO:0048471,biogenesis,UPR_sensor_machinery,False,PERK - UPR sensor kinase (phosphorylates eIF2alpha)
ATF6,ENSG00000118217,ENSG00000118217,22926,activating transcription factor 6,GO:0000139;GO:0000785;GO:0001650;GO:0005634;GO:0005635;GO:0005654;GO:0005730;GO:0005783;GO:0005789;GO:0005794;GO:0005829;GO:0016020;GO:0090575,biogenesis,UPR_sensor_machinery,False,ATF6alpha - ER-membrane UPR sensor; cleaved to TF (sensor machinery retained; note dual sensor/TF role)
SEC23A,ENSG00000100934,ENSG00000100934,10484,"SEC23 homolog A, COPII component",GO:0000139;GO:0005783;GO:0005789;GO:0005829;GO:0012507;GO:0030127;GO:0030134;GO:0048471;GO:0070971,biogenesis,ER_exit_sites,False,COPII inner coat (ER exit sites)
SEC23B,ENSG00000101310,ENSG00000101310,10483,"SEC23 homolog B, COPII component",GO:0005783;GO:0005789;GO:0005829;GO:0012505;GO:0012507;GO:0030127;GO:0048471;GO:0070971,biogenesis,ER_exit_sites,False,COPII inner coat
SEC24A,ENSG00000113615,ENSG00000113615,10802,"SEC24 homolog A, COPII component",GO:0005783;GO:0005789;GO:0005829;GO:0012507;GO:0030127;GO:0070971,biogenesis,ER_exit_sites,False,COPII cargo adaptor
SEC24D,ENSG00000150961,ENSG00000150961,9871,"SEC24 homolog D, COPII component",GO:0005783;GO:0005789;GO:0005829;GO:0012507;GO:0030127;GO:0070971,biogenesis,ER_exit_sites,False,COPII cargo adaptor
PREB,ENSG00000138073,ENSG00000138073,10113,prolactin regulatory element binding,GO:0005634;GO:0005789;GO:0016020;GO:0070971,biogenesis,ER_exit_sites,False,COPII SEC12 GEF for SAR1
