symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
PEX12,AT3G04460,Q9M841,GO:0007031,biogenesis,ubiquitination,False,YMR026C,PEX12,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YMR026C,RING E3; Compara 1:1 ortholog of ScPEX12
PEX4,AT5G25760,Q8LGF7,GO:0007031,biogenesis,ubiquitination,False,YGR133W,PEX4,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YGR133W,E2 conjugase; Compara 1:1 ortholog of ScPEX4
PEX22,AT3G21865,Q9LSX7,GO:0007031,biogenesis,ubiquitination,False,YAL055W,PEX22,conserved_family_GO,medium,conserved_family_and_shared_GO_no_compara_call,Pex4 anchor; conserved (family/GO)
PEX1,AT5G08470,Q9FNP1,GO:0007031;GO:0016558,biogenesis,import,False,YKL197C,PEX1,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YKL197C,AAA-ATPase; Compara 1:1 ortholog of ScPEX1
PEX6,AT1G03000,Q8RY16,GO:0016558,biogenesis,import,False,YNL329C,PEX6,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YNL329C,AAA-ATPase; Compara 1:1 ortholog of ScPEX6
APEM9,AT3G10572,Q8W4B2,GO:0007031,biogenesis,import,False,YOL044W,PEX15,conserved_family_GO,medium,conserved_family_and_shared_GO_no_compara_call,"Pex1/6 membrane anchor (functional analog of ScPEX15 / mammalian PEX26); conserved function, no Compara call; GO:0007031 assigned by curation (no experimental BP annotation in QuickGO target set)"
PEX11A,AT1G47750,Q9FZF1,GO:0007031;GO:0016559,biogenesis,fission,False,YOL147C,PEX11,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YOL147C,Pex11 family; Compara ortholog of ScPEX11
PEX11B,AT3G47430,Q9STY0,GO:0016559,biogenesis,fission,False,YOL147C,PEX11,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YOL147C,Pex11 family; Compara ortholog of ScPEX11
PEX11C,AT1G01820,Q9LQ73,GO:0016559,biogenesis,fission,False,YOL147C,PEX11,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YOL147C,Pex11 family; Compara ortholog of ScPEX11
PEX11D,AT2G45740,O80845,GO:0007031;GO:0016559,biogenesis,fission,False,YOL147C,PEX11,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YOL147C,Pex11 family; Compara ortholog of ScPEX11
PEX11E,AT3G61070,Q84JW1,GO:0007031;GO:0016559,biogenesis,fission,False,YOL147C,PEX11,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YOL147C,Pex11 family; Compara ortholog of ScPEX11
FIS1A,AT3G57090,Q9M1J1,GO:0016559,biogenesis,fission,False,YIL065C,FIS1,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YIL065C,BIGYIN/FIS1A; Compara ortholog of ScFIS1; shared with mito fission
FIS1B,AT5G12390,Q94CK3,GO:0016559,biogenesis,fission,False,YIL065C,FIS1,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YIL065C,FIS1B; Compara ortholog of ScFIS1; shared with mito fission
DRP3A,AT4G33650,Q8S944,GO:0016559,biogenesis,fission,False,YLL001W,DNM1,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YLL001W,dynamin DRP3A; Compara ortholog of ScDNM1; shared with mito fission
DRP3B,AT2G14120,Q8LFT2,GO:0016559,biogenesis,fission,False,YLL001W,DNM1,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YLL001W,dynamin DRP3B; Compara ortholog of ScDNM1; shared with mito fission
DRP5B,AT3G19720,Q84N64,GO:0016559,biogenesis,fission,False,,,none,none,no_yeast_ortholog_plant_specific,ARC5/DRP5B; plant-specific peroxisome+chloroplast division dynamin; Compara hit YOR211C=MGM1 is mitochondrial (spurious) - no S.cerevisiae ortholog
